"Season","Week Start","Week End","Week","Location","Care Type","1-Week Percent COVID-19","dtm_updated"
"2021-2022",2022-02-06 00:00:00,2022-02-12 00:00:00,6,"Cascade Pacific Action Alliance","Emergency Visits","6.9",2024-04-16 07:58:20
"2021-2022",2022-02-06 00:00:00,2022-02-12 00:00:00,6,"Elevate Health","Hospitalizations","9.1",2024-04-16 07:58:20
"2021-2022",2022-02-06 00:00:00,2022-02-12 00:00:00,6,"Elevate Health","Emergency Visits","5.5",2024-04-16 07:58:20
"2021-2022",2022-02-06 00:00:00,2022-02-12 00:00:00,6,"Greater Health Now","Hospitalizations","13.6",2024-04-16 07:58:20
"2021-2022",2022-02-06 00:00:00,2022-02-12 00:00:00,6,"Greater Health Now","Emergency Visits","6.8",2024-04-16 07:58:20
"2021-2022",2022-02-06 00:00:00,2022-02-12 00:00:00,6,"Healthier Here","Hospitalizations","6.1",2024-04-16 07:58:20
"2021-2022",2022-02-06 00:00:00,2022-02-12 00:00:00,6,"Healthier Here","Emergency Visits","4.5",2024-04-16 07:58:20
"2021-2022",2022-02-06 00:00:00,2022-02-12 00:00:00,6,"North Sound","Hospitalizations","11.5",2024-04-16 07:58:20
"2021-2022",2022-02-06 00:00:00,2022-02-12 00:00:00,6,"North Sound","Emergency Visits","6.8",2024-04-16 07:58:20
"2021-2022",2022-02-06 00:00:00,2022-02-12 00:00:00,6,"Olympic Community of Health","Hospitalizations","14.2",2024-04-16 07:58:20
"2021-2022",2022-02-06 00:00:00,2022-02-12 00:00:00,6,"Olympic Community of Health","Emergency Visits","7.6",2024-04-16 07:58:20
"2021-2022",2022-02-06 00:00:00,2022-02-12 00:00:00,6,"Southwest Washington","Hospitalizations","10.8",2024-04-16 07:58:20
"2021-2022",2022-02-06 00:00:00,2022-02-12 00:00:00,6,"Southwest Washington","Emergency Visits","5.8",2024-04-16 07:58:20
"2021-2022",2022-02-06 00:00:00,2022-02-12 00:00:00,6,"Statewide","Hospitalizations","9.8",2024-04-16 07:58:20
"2021-2022",2022-02-06 00:00:00,2022-02-12 00:00:00,6,"Statewide","Emergency Visits","6.1",2024-04-16 07:58:20
"2021-2022",2022-02-06 00:00:00,2022-02-12 00:00:00,6,"Thriving Together NCW","Hospitalizations","11.2",2024-04-16 07:58:20
"2021-2022",2022-02-06 00:00:00,2022-02-12 00:00:00,6,"Thriving Together NCW","Emergency Visits","7.6",2024-04-16 07:58:20
"2021-2022",2022-02-06 00:00:00,2022-02-12 00:00:00,6,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2021-2022",2022-02-06 00:00:00,2022-02-12 00:00:00,6,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Better Health Together","Hospitalizations","8.5",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Better Health Together","Emergency Visits","4.9",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Cascade Pacific Action Alliance","Hospitalizations","10.5",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Cascade Pacific Action Alliance","Emergency Visits","5.3",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Elevate Health","Hospitalizations","6.8",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Elevate Health","Emergency Visits","3.7",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Greater Health Now","Hospitalizations","10.4",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Greater Health Now","Emergency Visits","4",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Healthier Here","Hospitalizations","4.8",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Healthier Here","Emergency Visits","3",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"North Sound","Hospitalizations","7.8",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"North Sound","Emergency Visits","4.6",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Olympic Community of Health","Hospitalizations","8.7",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Olympic Community of Health","Emergency Visits","5.9",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Southwest Washington","Hospitalizations","6.6",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Southwest Washington","Emergency Visits","4.1",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Statewide","Hospitalizations","7.2",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Statewide","Emergency Visits","4.1",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Thriving Together NCW","Hospitalizations","10.4",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Thriving Together NCW","Emergency Visits","5.4",2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2021-2022",2022-02-13 00:00:00,2022-02-19 00:00:00,7,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Better Health Together","Hospitalizations","6.7",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Better Health Together","Emergency Visits","3.6",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Cascade Pacific Action Alliance","Hospitalizations","6.5",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Cascade Pacific Action Alliance","Emergency Visits","3.3",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Elevate Health","Hospitalizations","5.3",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Elevate Health","Emergency Visits","2.6",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Greater Health Now","Hospitalizations","5.8",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Greater Health Now","Emergency Visits","2.6",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Healthier Here","Hospitalizations","3.6",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Healthier Here","Emergency Visits","2.3",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"North Sound","Hospitalizations","7.5",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"North Sound","Emergency Visits","3.4",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Olympic Community of Health","Hospitalizations","6.5",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Olympic Community of Health","Emergency Visits","3.2",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Southwest Washington","Hospitalizations","3.4",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Southwest Washington","Emergency Visits","2",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Statewide","Hospitalizations","5.2",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Statewide","Emergency Visits","2.8",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Thriving Together NCW","Hospitalizations","4.9",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Thriving Together NCW","Emergency Visits","2.9",2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2021-2022",2022-02-20 00:00:00,2022-02-26 00:00:00,8,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Better Health Together","Hospitalizations","5.7",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Better Health Together","Emergency Visits","2.8",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Cascade Pacific Action Alliance","Hospitalizations","5.3",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Cascade Pacific Action Alliance","Emergency Visits","2.2",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Elevate Health","Hospitalizations","4",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Elevate Health","Emergency Visits","1.9",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Greater Health Now","Hospitalizations","4.8",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Greater Health Now","Emergency Visits","1.8",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Healthier Here","Hospitalizations","2.8",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Healthier Here","Emergency Visits","1.6",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"North Sound","Hospitalizations","5.2",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"North Sound","Emergency Visits","2.4",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Olympic Community of Health","Hospitalizations","4.8",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Olympic Community of Health","Emergency Visits","2.4",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Southwest Washington","Hospitalizations","3.5",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Southwest Washington","Emergency Visits","1.5",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Statewide","Hospitalizations","4.2",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Statewide","Emergency Visits","2",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Thriving Together NCW","Hospitalizations","5.4",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Thriving Together NCW","Emergency Visits","2.2",2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2021-2022",2022-02-27 00:00:00,2022-03-05 00:00:00,9,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Better Health Together","Hospitalizations","2.6",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Better Health Together","Emergency Visits","1.6",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Cascade Pacific Action Alliance","Hospitalizations","2.9",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Cascade Pacific Action Alliance","Emergency Visits","1.2",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Elevate Health","Hospitalizations","2.6",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Elevate Health","Emergency Visits","1.1",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Greater Health Now","Hospitalizations","2.5",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Greater Health Now","Emergency Visits","1",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Healthier Here","Hospitalizations","1.9",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Healthier Here","Emergency Visits","1",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"North Sound","Hospitalizations","3.8",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"North Sound","Emergency Visits","1.6",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Olympic Community of Health","Hospitalizations","4.3",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Olympic Community of Health","Emergency Visits","1.8",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Southwest Washington","Hospitalizations","1.9",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Southwest Washington","Emergency Visits","0.9",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Statewide","Hospitalizations","2.7",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Statewide","Emergency Visits","1.3",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Thriving Together NCW","Hospitalizations","5.2",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Thriving Together NCW","Emergency Visits","2.2",2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2021-2022",2022-03-06 00:00:00,2022-03-12 00:00:00,10,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Better Health Together","Hospitalizations","3.5",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Better Health Together","Emergency Visits","1.5",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Cascade Pacific Action Alliance","Hospitalizations","3.3",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Cascade Pacific Action Alliance","Emergency Visits","1.1",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Elevate Health","Hospitalizations","1.7",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Elevate Health","Emergency Visits","0.8",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Greater Health Now","Hospitalizations","1.9",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Greater Health Now","Emergency Visits","0.6",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Healthier Here","Hospitalizations","1.7",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Healthier Here","Emergency Visits","0.9",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"North Sound","Hospitalizations","2.3",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"North Sound","Emergency Visits","1.3",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Olympic Community of Health","Hospitalizations","2.3",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Olympic Community of Health","Emergency Visits","1",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Southwest Washington","Hospitalizations","0.9",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Southwest Washington","Emergency Visits","0.6",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Statewide","Hospitalizations","2.1",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Statewide","Emergency Visits","1",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Thriving Together NCW","Hospitalizations","2.1",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Thriving Together NCW","Emergency Visits","1.2",2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2021-2022",2022-03-13 00:00:00,2022-03-19 00:00:00,11,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Better Health Together","Hospitalizations","2.2",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Better Health Together","Emergency Visits","1.1",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Cascade Pacific Action Alliance","Hospitalizations","1.6",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Cascade Pacific Action Alliance","Emergency Visits","0.5",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Elevate Health","Hospitalizations","2",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Elevate Health","Emergency Visits","0.7",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Greater Health Now","Hospitalizations","1.5",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Greater Health Now","Emergency Visits","0.6",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Healthier Here","Hospitalizations","1.8",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Healthier Here","Emergency Visits","1.3",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"North Sound","Hospitalizations","2.7",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"North Sound","Emergency Visits","1.2",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Olympic Community of Health","Hospitalizations","3.1",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Olympic Community of Health","Emergency Visits","1.1",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Southwest Washington","Hospitalizations","0.4",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Southwest Washington","Emergency Visits","0.3",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Statewide","Hospitalizations","1.9",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Statewide","Emergency Visits","0.9",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Thriving Together NCW","Hospitalizations","0.8",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Thriving Together NCW","Emergency Visits","0.8",2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2021-2022",2022-03-20 00:00:00,2022-03-26 00:00:00,12,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Better Health Together","Hospitalizations","1.5",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Better Health Together","Emergency Visits","0.8",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Cascade Pacific Action Alliance","Hospitalizations","2.3",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Cascade Pacific Action Alliance","Emergency Visits","0.8",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Elevate Health","Hospitalizations","1.2",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Elevate Health","Emergency Visits","0.6",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Greater Health Now","Hospitalizations","1.5",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Greater Health Now","Emergency Visits","0.6",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Healthier Here","Hospitalizations","1.6",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Healthier Here","Emergency Visits","1.4",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"North Sound","Hospitalizations","2.8",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"North Sound","Emergency Visits","1.3",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Olympic Community of Health","Hospitalizations","2.4",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Olympic Community of Health","Emergency Visits","1.1",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Southwest Washington","Hospitalizations","0.7",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Southwest Washington","Emergency Visits","0.4",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Statewide","Hospitalizations","1.7",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Statewide","Emergency Visits","1",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Thriving Together NCW","Hospitalizations","1.8",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Thriving Together NCW","Emergency Visits","0.6",2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2021-2022",2022-03-27 00:00:00,2022-04-02 00:00:00,13,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Better Health Together","Hospitalizations","1.9",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Better Health Together","Emergency Visits","0.7",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Cascade Pacific Action Alliance","Hospitalizations","1.5",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Cascade Pacific Action Alliance","Emergency Visits","0.9",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Elevate Health","Hospitalizations","1.6",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Elevate Health","Emergency Visits","1",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Greater Health Now","Hospitalizations","1.3",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Greater Health Now","Emergency Visits","0.5",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Healthier Here","Hospitalizations","1.9",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Healthier Here","Emergency Visits","1.6",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"North Sound","Hospitalizations","3.1",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"North Sound","Emergency Visits","1.7",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Olympic Community of Health","Hospitalizations","3.3",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Olympic Community of Health","Emergency Visits","1.3",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Southwest Washington","Hospitalizations","1.2",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Southwest Washington","Emergency Visits","0.6",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Statewide","Hospitalizations","1.9",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Statewide","Emergency Visits","1.1",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Thriving Together NCW","Hospitalizations","1.1",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Thriving Together NCW","Emergency Visits","0.5",2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2021-2022",2022-04-03 00:00:00,2022-04-09 00:00:00,14,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2021-2022",2022-04-10 00:00:00,2022-04-16 00:00:00,15,"Better Health Together","Hospitalizations","1.4",2024-04-16 07:58:20
"2021-2022",2022-04-10 00:00:00,2022-04-16 00:00:00,15,"Better Health Together","Emergency Visits","0.9",2024-04-16 07:58:20
"2021-2022",2022-04-10 00:00:00,2022-04-16 00:00:00,15,"Cascade Pacific Action Alliance","Hospitalizations","2.2",2024-04-16 07:58:20
"2021-2022",2022-04-10 00:00:00,2022-04-16 00:00:00,15,"Cascade Pacific Action Alliance","Emergency Visits","1.2",2024-04-16 07:58:20
"2021-2022",2022-04-10 00:00:00,2022-04-16 00:00:00,15,"Elevate Health","Hospitalizations","1.7",2024-04-16 07:58:20
"2021-2022",2022-04-10 00:00:00,2022-04-16 00:00:00,15,"Elevate Health","Emergency Visits","1.2",2024-04-16 07:58:20
"2021-2022",2022-04-10 00:00:00,2022-04-16 00:00:00,15,"Greater Health Now","Hospitalizations","1.2",2024-04-16 07:58:20
